batter,total_runs,balls_faced,total_boundaries,strike_rate
Y Venugopal Rao,980,812,113,120.69
YBK Jaiswal,1595,1045,261,152.63
YK Pathan,3210,2196,424,146.17
YS Chahal,37,84,0,44.05
YV Dhull,16,23,1,69.57
YV Takawale,191,171,29,111.7
Yash Dayal,0,1,0,0.0
Yashpal Singh,47,65,5,72.31
Younis Khan,3,7,0,42.86
Yudhvir Singh,22,16,3,137.5
Yuvraj Singh,2742,2089,365,131.26
Z Khan,116,137,13,84.67
